year,bill,bill_status_id,latest_update_chamber,latest_update_text
2025,HB985,introduced,H,"Referred to AGR, FIN, referral sheet 3"
2025,HB986,introduced,H,"Referred to AGR, FIN, referral sheet 3"
2025,HB99,introduced,H,"Referred to EDN, FIN, referral sheet 1"
2025,SB1,introduced,S,Pending Introduction.
2025,SB1003 SD1,waiting2,S,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
2025,SB1020,introduced,S,"Referred to CPN/AEN, JDC."
2025,SB1043 SD2 HD1,deferred2,H,"Referred to ECD, FIN, referral sheet 19"
2025,SB1055,scheduled1,S,"Referred to HHS, WAM."
2025,SB1079,introduced,S,"Referred to WTL/EIG, WAM."
2025,SB1085 SD1,waiting2,S,The committee(s) on AEN/WTL has scheduled a public hearing on 02-12-25 1:05PM; Conference Room 229 & Videoconference.
2025,SB1086 SD1,waiting2,S,The committee(s) on AEN/WTL has scheduled a public hearing on 02-12-25 1:05PM; Conference Room 229 & Videoconference.
2025,SB1099 HD1,conferenceAssigned,H,"Passed Third Reading with none voting aye with reservations; Representative(s) Iwamoto, Pierick, Shimizu voting no (3) and Representative(s) Cochran excused (1).  Transmitted to Senate."
2025,SB1100 SD2 HD2,crossoverWaiting3,H,"Re-referred to AGR, CPC, FIN, referral sheet 20"
2025,SB1111 SD1,waiting2,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 4 Aye(s): Senator(s) Gabbard, Richards, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) DeCoite."
2025,SB1114,introduced,S,"Referred to WTL/HOU, WAM."
2025,SB1152,introduced,S,"Referred to AEN, WAM."
2025,SB1155,introduced,S,"Referred to AEN, WAM."
2025,SB1158 SD1,waiting2,S,"Reported from HRE/AEN (Stand. Com. Rep. No. 309) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM."
2025,SB1159,waiting2,S,The committee(s) on AEN has scheduled a public hearing on 02-10-25 1:01PM; Conference Room 224 & Videoconference.
2025,SB1171 SD1,waiting2,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 4 Aye(s): Senator(s) Gabbard, Richards, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) DeCoite."
2025,SB1178,introduced,S,"Referred to WTL/AEN, WAM."
2025,SB1182,waiting2,S,"Referred to WTL/AEN, WAM."
2025,SB1183,introduced,S,"Referred to EDT/AEN, CPN."
2025,SB1184,introduced,S,"Referred to AEN, WAM."
2025,SB1185 SD1 HD1,crossoverWaiting2,H,"Referred to AGR, FIN, referral sheet 19"
2025,SB1186 SD2 HD3 CD1,governorSigns,S,"Act 239, 06/27/2025 (Gov. Msg. No. 1341)."
2025,SB1187 SD1,waiting2,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 4 Aye(s): Senator(s) Gabbard, Richards, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) DeCoite."
2025,SB1188,introduced,S,"Referred to WTL/EIG/HHS, WAM."
2025,SB1189,introduced,S,"Referred to EDU/HRE/AEN, WAM."
2025,SB1190,introduced,S,"Referred to WTL/AEN, WAM."
2025,SB1191,scheduled1,S,The committee(s) on AEN/HHS deleted the measure from the public hearing scheduled on 02-07-25 2:00PM; CR 225 & Videoconference.
2025,SB1192,introduced,S,"Referred to EDU, WAM/JDC."
2025,SB1193,introduced,S,"Referred to WTL/PSM, WAM/JDC."
2025,SB12,deferred1,S,The committee(s) on AEN has scheduled a public hearing on 02-10-25 1:01PM; Conference Room 224 & Videoconference.
2025,SB1247,introduced,S,"Referred to EDT, WAM."
2025,SB1248,waiting2,S,The committee(s) on AEN has scheduled a public hearing on 02-10-25 1:01PM; Conference Room 224 & Videoconference.
2025,SB1249 SD1 HD2 CD1,governorSigns,S,"Act 235, 06/27/2025 (Gov. Msg. No. 1337)."
2025,SB1250 SD1 HD1,crossoverWaiting2,H,"Referred to AGR, FIN, referral sheet 19"
2025,SB1251,introduced,S,"Referred to WTL/AEN/EIG/EDT, WAM."
2025,SB1257 SD1 HD1,crossoverDeferred2,H,"Bill scheduled to be heard by AGR on Wednesday, 03-12-25 9:00AM in House conference room 325 VIA VIDEOCONFERENCE."
2025,SB1258,waiting2,S,"Referred to EDT, WAM."
2025,SB1259,introduced,S,"Referred to EDU/AEN, WAM/JDC."
2025,SB1260 SD1,waiting2,S,The committee(s) on AEN has scheduled a public hearing on 02-10-25 1:01PM; Conference Room 224 & Videoconference.
2025,SB1262,introduced,S,"Referred to WTL/AEN, JDC/WAM."
2025,SB1276 SD1 HD1,crossoverWaiting2,H,"Bill scheduled to be heard by AGR on Wednesday, 03-12-25 9:00AM in House conference room 325 VIA VIDEOCONFERENCE."
2025,SB127 SD1,introduced,S,"Reported from AEN (Stand. Com. Rep. No. 43) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM."
2025,SB128,introduced,S,"Referred to AEN, JDC."
2025,SB1290,introduced,S,"Referred to HHS, WAM/CPN."
2025,SB129 SD2,crossoverWaiting1,H,Pass First Reading
2025,SB1300 SD1 HD1 CD1,governorSigns,S,"Act 139, 05/30/2025 (Gov. Msg. No. 1239)."
2025,SB1303 SD1,waiting2,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 4 Aye(s): Senator(s) Gabbard, Richards, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) DeCoite."
2025,SB1304 SD2 HD1 CD1,governorSigns,H,"Act 179, on 06/06/2025 (Gov. Msg. No. 1279)."
2025,SB1305,introduced,S,"Referred to AEN, WAM."
2025,SB1325 SD1,waiting2,S,"The committee(s) on  EDT recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in EDT were as follows: 5 Aye(s): Senator(s) DeCoite, Wakai, Fukunaga, Kim, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none."
2025,SB1331 SD1,waiting2,S,The committee(s) on WTL has scheduled a public hearing on 02-10-25 1:00PM; Conference Room 229 & Videoconference.
2025,SB1332,introduced,S,"Referred to AEN/WTL, WAM."
2025,SB1335 SD1,waiting2,S,The committee(s) on WTL has scheduled a public hearing on 02-10-25 1:00PM; Conference Room 229 & Videoconference.
2025,SB1336,waiting2,S,"The committee(s) on EIG recommend(s) that the measure be PASSED, UNAMENDED.  The votes in EIG were as follows: 5 Aye(s): Senator(s) Wakai, Chang, DeCoite, Richards, Fevella; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none."
2025,SB135,deferred1,S,The committee(s) on EDT/CPN has scheduled a public hearing on 02-11-25 1:02PM; Conference Room 229 & Videoconference.
2025,SB1379 SD2 HD1,crossoverWaiting2,H,"Bill scheduled to be heard by PBS on Wednesday, 03-12-25 9:30AM in House conference room 411 VIA VIDEOCONFERENCE."
2025,SB139,introduced,S,"Referred to AEN/WTL, CPN/WAM."
2025,SB1394,introduced,S,"Referred to EDU, WAM."
2025,SB1395 SD2 HD1,crossoverDeferred2,H,Pass First Reading
2025,SB1396 SD3 HD3 CD2,governorSigns,S,"Act 096, 05/27/2025 (Gov. Msg. No. 1196)."
2025,SB13 SD1,waiting2,S,"Reported from AEN (Stand. Com. Rep. No. 298) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM."
2025,SB1418 SD1,crossoverDeferred1,S,"The committee(s) on  HHS recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in HHS were as follows: 4 Aye(s): Senator(s) San Buenaventura, Aquino, Hashimoto, Keohokalole; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Fevella."
2025,SB1468 SD1,waiting2,S,The committee(s) on AEN has scheduled a public hearing on 02-10-25 1:01PM; Conference Room 224 & Videoconference.
2025,SB1539 SD1,waiting2,S,The committee(s) on EDT has scheduled a public hearing on 02-11-25 1:00PM; Conference Room 229 & Videoconference.
2025,SB1547 SD1 HD1,conferenceScheduled,S,Senate disagrees with House amendments.
2025,SB1548,deferred1,S,The committee on EDU deferred the measure.
2025,SB1573,introduced,S,"Referred to WTL/AEN, JDC."
2025,SB1582 HD1,conferenceAssigned,H,Received notice of disagreement (Sen. Com. No. 481).
2025,SB1591 SD1,waiting2,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 5 Aye(s): Senator(s) Gabbard, Richards, DeCoite, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none."
2025,SB16,introduced,S,Pending Introduction.
2025,SB1607,introduced,S,Re-Referred to JDC.
2025,SB177 SD1 HD1,conferenceScheduled,S,Senate disagrees with House amendments.
2025,SB184,introduced,S,Report adopted; Passed Second Reading and referred to WAM.
2025,SB194,introduced,S,"Referred to HHS, WAM."
2025,SB19 SD1,waiting2,S,"The committee(s) on  WTL recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in WTL were as follows: 5 Aye(s): Senator(s) Inouye, Elefante, Chang, McKelvey, DeCorte; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none."
2026,SB2002,crossoverWaiting2,S,48 Hrs. Notice 03-10-26.
2026,SB2006,crossoverWaiting1,S,48 Hrs. Notice 03-10-26.
2026,SB2007,deferred1,S,The committee on EIG deferred the measure.
2026,SB2015,introduced,S,"Referred to WLA/EIG, WAM."
2026,SB2019,waiting2,S,The committee(s) on WLA/AEN has scheduled a public hearing on 02-11-26 1:00PM; CR 224 & Videoconference.
2026,SB2028,introduced,S,"Referred to AEN, WAM."
2026,SB2048,waiting2,S,The committee(s) on AEN/CPN has scheduled a public hearing on 02-11-26 10:00AM; Conference Room 229 & Videoconference.
2026,SB2085,introduced,S,"Referred to HHS, WAM."
2026,SB2094,waiting2,S,The committee(s) on AEN/GVO has scheduled a public hearing on 02-12-26 3:05PM; Conference Room 225 & Videoconference.
2026,SB2095,passedCommittees,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 16 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Morikawa, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none."
2026,SB2096,crossoverWaiting2,S,"Reported from WAM (Stand. Com. Rep. No. 2948) with recommendation of passage on Third Reading, as amended (SD 2)."
2026,SB2097,waiting2,S,"Reported from AEN (Stand. Com. Rep. No. 2233) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM."
2026,SB2098,waiting2,S,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
2026,SB2100,crossoverWaiting2,S,48 Hrs. Notice 03-10-26.
2026,SB2101,passedCommittees,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 15 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Morikawa, Perruso, Templo, Yamashita, Gedeon, Reyes Oda; Ayes with reservations: none; 1 Noes: Representative(s) Alcos; and  Excused: none."
2026,SB2102,passedCommittees,H,"The committee on CPC recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 11 Ayes: Representative(s) Matayoshi, Grandinetti, Chun, Ilagan, Ichiyama, Iwamoto, Kong, Lowen, Marten, Tam, Pierick; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none."
2026,SB2103,crossoverWaiting1,S,48 Hrs. Notice 03-10-26.
2026,SB2104,introduced,S,"Referred to HHS/EIG, WAM."
2026,SB2109,passedCommittees,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 16 Ayes: Representative(s) Todd, Takenouchi, Hussey, Kitagawa, Kusch, Lee, M., Miyake, Morikawa, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: Representative(s) Hartsfield, Keohokapu-Lee Loy;  Noes: none; and  Excused: none."
2026,SB2110,passedCommittees,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 16 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Morikawa, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none."
2026,SB2112,waiting2,S,"Re-Referred to AEN, CPN/WAM."
2026,SB2113,introduced,S,"Referred to GVO/AEN/PSM/HHS, WAM."
2026,SB2123,deferred1,S,The committee on AEN deferred the measure.
2026,SB2126,waiting2,S,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
2026,SB2127,waiting2,S,"The committee(s) on  HHS recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in HHS were as follows: 3 Aye(s): Senator(s) San Buenaventura, McKelvey, Kanuha; Aye(s) with reservations: none ; 0 No(es): none; and 2 Excused: Senator(s) Keohokalole, Fevella."
2026,SB2130,waiting2,S,The committee(s) on WLA deleted the measure from the public hearing scheduled on 02-09-26 1:00PM; CR 224 & Videoconference.
2026,SB2144,introduced,S,"Referred to EDU, WAM."
2026,SB2148,introduced,S,"Referred to HHS/CPN, WAM."
2026,SB2153,passedCommittees,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 15 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 1 Excused: Representative(s) Morikawa."
2026,SB2154,waiting2,S,"Reported from AEN (Stand. Com. Rep. No. 2105) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM."
2026,SB2156,waiting2,S,"Reported from EDT/WLA (Stand. Com. Rep. No. 2688) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM."
2026,SB2159,introduced,S,"Referred to EDT/AEN, WAM."
2026,SB2160,waiting2,S,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM/CPN."
2026,SB2161,crossoverWaiting1,S,48 Hrs. Notice 03-10-26.
2026,SB2162,introduced,S,"Referred to WLA/HOU, WAM."
2026,SB2168,introduced,S,"Referred to EDU/AEN, WAM."
2026,SB2169,passedCommittees,H,"The committee on JHA recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 6 Ayes: Representative(s) Tarnas, Hashem, Kahaloa, Takayama; Ayes with reservations: Representative(s) Cochran, Garcia; 2 Noes: Representative(s) Poepoe, Shimizu; and 2 Excused: Representative(s) Belatti, Sayama."
2025,SB216 SD1,waiting2,S,The committee(s) on AEN has scheduled a public hearing on 02-10-25 1:01PM; Conference Room 224 & Videoconference.
2026,SB2170,waiting2,S,"The committee(s) on  EDT recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in EDT were as follows: 3 Aye(s): Senator(s) DeCoite, Fukunaga, Fevella; Aye(s) with reservations: none ; 0 No(es): none; and 2 Excused: Senator(s) Wakai, Kim."
2026,SB2174,crossoverWaiting2,S,"Reported from JDC (Stand. Com. Rep. No. 3018) with recommendation of passage on Third Reading, as amended (SD 2)."
2025,SB22,deferred1,S,The committee(s) on WTL/AEN has scheduled a public hearing on 02-12-25 1:05PM; Conference Room 229 & Videoconference.
2025,SB221,introduced,S,"Referred to EDU, WAM."
2026,SB2211,crossoverWaiting2,H,Pass First Reading
2026,SB2213,introduced,S,"Referred to EDU/AEN, WAM."
2026,SB2236,introduced,S,"Referred to HHS, CPN."
2026,SB2240,crossoverWaiting1,S,48 Hrs. Notice 03-10-26.
2026,SB2258,waiting2,S,The committee(s) on GVO/CPN has scheduled a public hearing on 02-11-26 9:45AM; CR 229 & Videoconference.
2025,SB229,scheduled1,S,"Referred to EDU, WAM."
2026,SB2309,waiting2,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 5 Aye(s): Senator(s) Gabbard, Richards, DeCoite, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none."
2025,SB231,introduced,S,"Referred to WTL/AEN/EIG/EDT, WAM."
2026,SB2317,waiting2,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 5 Aye(s): Senator(s) Gabbard, Richards, DeCoite, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none."
2026,SB2318,waiting2,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 5 Aye(s): Senator(s) Gabbard, Richards, DeCoite, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none."
2026,SB2319,passedCommittees,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 15 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 1 Excused: Representative(s) Morikawa."
2026,SB2320,passedCommittees,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 16 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Morikawa, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none;  Noes: none; and  Excused: none."
2026,SB2321,passedCommittees,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 15 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Perruso, Templo, Yamashita, Gedeon, Reyes Oda; Ayes with reservations: Representative(s) Alcos;  Noes: none; and 1 Excused: Representative(s) Morikawa."
2026,SB2323,waiting2,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 5 Aye(s): Senator(s) Gabbard, Richards, DeCoite, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none."
2025,SB233,waiting2,S,The committee(s) on EIG has scheduled a public hearing on 02-11-25 3:20PM; Conference Room 016 & Videoconference.
2026,SB2332,deferred1,S,The committee(s) on AEN will hold a public decision making on 02-11-26 4:00PM; Conference Room 224 & Videoconference.
2026,SB2333,waiting2,S,The committee(s) on AEN will hold a public decision making on 02-11-26 4:00PM; Conference Room 224 & Videoconference.
2026,SB2334,deferred1,S,The committee(s) on AEN/WLA has scheduled a public hearing on 02-11-26 3:00PM; CR 224 & Videoconference.
2026,SB2335,introduced,S,"Referred to EDT/AEN, WAM."
2026,SB2349,waiting2,S,"The committee(s) on  EDT recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in EDT were as follows: 4 Aye(s): Senator(s) DeCoite, Wakai, Kim, Fevella; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Fukunaga."
2025,SB235,introduced,S,"Referred to EDU/AEN, WAM."
2026,SB2350,crossoverDeferred1,S,"Reported from WAM (Stand. Com. Rep. No. 2850) with recommendation of passage on Third Reading, as amended (SD 2)."
2026,SB2360,passedCommittees,H,"Reported from FIN (Stand. Com. Rep. No. 2002-26), recommending passage on Third Reading."
2026,SB2371,waiting2,S,"Reported from AEN/WLA/EIG (Stand. Com. Rep. No. 2685) with recommendation of passage on Second Reading, as amended (SD 1) and referral to CPN/JDC."
2026,SB2374,waiting2,S,The committee(s) on EDT/AEN has rescheduled its public hearing to 02-13-26 3:01PM; Conference Room 224 & Videoconference.
2025,SB240,deferred1,S,The committee on AEN deferred the measure.
2026,SB2404,introduced,S,"Referred to AEN, WAM."
2026,SB2405,passedCommittees,H,"Reported from WAL (Stand. Com. Rep. No. 1990-26), recommending passage on Third Reading."
2026,SB2406,introduced,S,"Referred to AEN, CPN."
2026,SB2407,passedCommittees,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 15 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 1 Excused: Representative(s) Morikawa."
2026,SB2417,introduced,S,"Referred to PSM/HHS, JDC/WAM."
2026,SB2427,introduced,S,"Referred to HHS, WAM."
2025,SB242 SD2,crossoverWaiting1,H,Pass First Reading
2026,SB2439,introduced,S,"Referred to AEN, WAM/CPN."
2026,SB2440,introduced,S,"Referred to WLA/AEN, WAM."
2026,SB2458,introduced,S,"Referred to HHS/CPN, WAM."
2026,SB2459,introduced,S,"Referred to AEN, CPN."
2025,SB247,introduced,S,"Referred to WTL, WAM."
2025,SB248,introduced,S,"Referred to EDU/LBT, WAM."
2026,SB2488,waiting2,S,The committee(s) on WLA/AEN has scheduled a public hearing on 02-11-26 1:00PM; CR 224 & Videoconference.
2026,SB2489,crossoverWaiting2,S,"Reported from JDC (Stand. Com. Rep. No. 3021) with recommendation of passage on Third Reading, as amended (SD 1)."
2025,SB249 SD1,waiting2,S,The committee(s) on EDU has scheduled a public hearing on 02-10-25 3:02PM; Conference Room 229 & Videoconference.
2025,SB250 SD1,waiting2,S,"Reported from AEN (Stand. Com. Rep. No. 50) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM."
2025,SB251,waiting2,S,Reported from AEN (Stand. Com. Rep. No. 16) with recommendation of passage on Second Reading and referral to CPN/WAM.
2025,SB252 SD2 HD2,crossoverWaiting3,H,"Bill scheduled to be heard by AGR on Wednesday, 03-12-25 9:00AM in House conference room 325 VIA VIDEOCONFERENCE."
2026,SB2576,deferred1,S,The committee on AEN deferred the measure.
2026,SB2595,passedCommittees,H,"Bill scheduled for decision making on Tuesday, 04-07-26 10:10AM in conference room 308 VIA VIDEOCONFERENCE."
2026,SB2597,introduced,S,"Referred to AEN, WAM."
2026,SB2615,passedCommittees,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 16 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Morikawa, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none."
2026,SB2677,introduced,S,"Referred to EDU, WAM."
2026,SB2685,introduced,S,"Referred to WLA, JDC."
2026,SB2689,introduced,S,"Referred to EIG/AEN, WAM."
2026,SB2703,introduced,S,"Referred to AEN, WAM."
2026,SB2704,waiting2,S,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
2026,SB2705,introduced,S,"Referred to EDU, WAM."
2026,SB2706,passedCommittees,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 16 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Morikawa, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none."
2026,SB2707,introduced,S,"Referred to EDU/AEN, WAM."
2026,SB2708,introduced,S,"Referred to EDU, WAM."
2026,SB2709,waiting2,S,"Reported from AEN/TRS (Stand. Com. Rep. No. 2562) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM."
2025,SB271,deferred1,S,The committee on HHS deferred the measure.
2026,SB2713,crossoverWaiting1,S,One Day Notice 03-10-26.
2026,SB2716,deferred1,S,The committee on EDT deferred the measure.
2026,SB2717,introduced,S,"Referred to AEN, JDC/WAM."
2026,SB2718,waiting2,S,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM."
2026,SB2740,introduced,S,"Referred to AEN/EIG/WLA, WAM/JDC."
2026,SB2741,waiting2,S,"Reported from AEN (Stand. Com. Rep. No. 2677) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM."
2026,SB2742,introduced,S,"Referred to AEN, JDC."
2026,SB2743,introduced,S,"Referred to AEN/EIG, JDC."
2026,SB2745,introduced,S,"Referred to WLA/AEN, WAM."
2026,SB2747,introduced,S,"Referred to AEN/WLA, WAM."
2026,SB2760,waiting2,S,The committee(s) on AEN/CPN has scheduled a public hearing on 02-11-26 10:00AM; Conference Room 229 & Videoconference.
2026,SB2779,introduced,S,"Referred to AEN/WLA, WAM/CPN."
2026,SB2790,waiting2,S,"The committee(s) on HWN recommend(s) that the measure be PASSED, UNAMENDED.  The votes in HWN were as follows: 5 Aye(s): Senator(s) Richards, Lamosao, Ihara, Keohokalole, DeCorte; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none."
2026,SB2792,introduced,S,"Referred to HHS, WAM."
2026,SB2798,passedCommittees,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 16 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Morikawa, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none."
2026,SB2800,passedCommittees,H,Passed Third Reading with none voting aye with reservations; none voting no (0) and Representative(s) Cochran excused (1).  Transmitted to Senate.
2026,SB2802,passedCommittees,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 16 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Morikawa, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none."
2026,SB2805,passedCommittees,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 15 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 1 Excused: Representative(s) Morikawa."
2026,SB2885,crossoverDeferred1,S,One Day Notice 03-10-26.
2026,SB2887,waiting2,S,The committee(s) on AEN/HWN has scheduled a public hearing on 02-12-26 1:00PM; CR 224 & Videoconference.
2026,SB2890,introduced,S,Referred to WAM.
2026,SB2891,introduced,S,"Referred to HHS, WAM."
2026,SB2922,crossoverWaiting1,S,"Reported from JDC (Stand. Com. Rep. No. 3015) with recommendation of passage on Third Reading, as amended (SD 2)."
2026,SB2925,crossoverWaiting3,S,Reported from WAM/CPN (Stand. Com. Rep. No. 2892) with recommendation of passage on Third Reading.
2026,SB2935,waiting2,S,"Reported from HHS (Stand. Com. Rep. No. 2573) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM."
2026,SB2942,introduced,S,The committee(s) on AEN deleted the measure from the public hearing scheduled on 02-09-26 4:00PM; CR 224 & Videoconference.
2026,SB2972,passedCommittees,H,"The committee on JHA recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 8 Ayes: Representative(s) Tarnas, Poepoe, Hashem, Kahaloa, Takayama; Ayes with reservations: Representative(s) Cochran, Garcia, Shimizu; 0 Noes: none; and 2 Excused: Representative(s) Belatti, Sayama."
2026,SB2973,crossoverWaiting2,S,One Day Notice 03-10-26.
2026,SB2975,crossoverWaiting1,S,One Day Notice 03-10-26.
