year,bill,latest_update_chamber,latest_update_text,gold,predicted
2025,HB858 HD1 SD1,S,The committee(s) on AEN has scheduled a public hearing on 03-10-25 1:01PM; Conference Room 224 & Videoconference.,crossoverWaiting2,crossoverWaiting2
2025,HB859 HD1,H,"Reported from AGR (Stand. Com. Rep. No. 156) as amended in HD 1, recommending passage on Second Reading and referral to JHA.",waiting2,waiting2
2025,HB86 HD2 SD1,S,"Report adopted; Passed Third Reading, as amended (SD  1). Ayes, 25; Aye(s) with reservations: none .  Noes, 0 (none). Excused, 0 (none).  Transmitted to House.",conferenceScheduled,conferenceScheduled
2025,HB87,H,"Referred to EDN, FIN, referral sheet 1",introduced,introduced
2025,HB873,H,Introduced and Pass First Reading.,introduced,introduced
2025,HB884,H,Introduced and Pass First Reading.,introduced,introduced
2025,HB912 HD1,H,"Reported from AGR (Stand. Com. Rep. No. 81) as amended in HD 1, recommending passage on Second Reading and referral to WAL.",waiting2,waiting2
2025,HB929,H,The committee(s) on WAL recommend(s) that the measure be deferred.,deferred1,deferred1
2025,HB92 HD2,H,"The committee recommends that the measure pass with amendments, for recommittal for further consideration. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan;  Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward.",waiting2,waiting2
2025,HB933 HD1,H,The committee(s) on ECD recommend(s) that the measure be deferred.,deferred2,deferred2
2025,HB946,H,"Referred to EEP, ECD, FIN, referral sheet 3",introduced,introduced
2025,HB966 HD2,S,"Referred to AEN/WTL/EDT/EIG, WAM.",crossoverWaiting1,crossoverDeferred1
2025,HB967 HD1,H,"The committee on AGR recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward.",waiting2,waiting2
2025,HB968 HD1,H,"The committee on AGR recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward.",waiting2,waiting2
2025,HB975 HD1,H,"Reported from EEP (Stand. Com. Rep. No. 768) as amended in HD 1, recommending passage on Second Reading and referral to FIN.",waiting2,waiting2
2025,HB980 HD1,S,"Referred to AEN, JDC.",introduced,crossoverDeferred1
2025,HB984 HD2 SD1 CD1,S,Received notice of passage on Final Reading in House (Hse. Com. No. 821).,governorSigns,governorSigns
2025,HB985,H,"Referred to AGR, FIN, referral sheet 3",introduced,introduced
2025,HB986,H,"Referred to AGR, FIN, referral sheet 3",introduced,introduced
2025,HB99,H,"Referred to EDN, FIN, referral sheet 1",introduced,introduced
2025,SB1,S,Pending Introduction.,introduced,introduced
2025,SB1003 SD1,S,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.",waiting2,waiting2
2025,SB1020,S,"Referred to CPN/AEN, JDC.",introduced,introduced
2025,SB1043 SD2 HD1,H,"Referred to ECD, FIN, referral sheet 19",deferred2,crossoverWaiting2
2025,SB1055,S,"Referred to HHS, WAM.",scheduled1,introduced
2025,SB1079,S,"Referred to WTL/EIG, WAM.",introduced,introduced
2025,SB1085 SD1,S,The committee(s) on AEN/WTL has scheduled a public hearing on 02-12-25 1:05PM; Conference Room 229 & Videoconference.,waiting2,waiting2
2025,SB1086 SD1,S,The committee(s) on AEN/WTL has scheduled a public hearing on 02-12-25 1:05PM; Conference Room 229 & Videoconference.,waiting2,waiting2
2025,SB1099 HD1,H,"Passed Third Reading with none voting aye with reservations; Representative(s) Iwamoto, Pierick, Shimizu voting no (3) and Representative(s) Cochran excused (1).  Transmitted to Senate.",conferenceAssigned,conferenceAssigned
2025,SB1100 SD2 HD2,H,"Re-referred to AGR, CPC, FIN, referral sheet 20",crossoverWaiting3,crossoverWaiting3
2025,SB1111 SD1,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 4 Aye(s): Senator(s) Gabbard, Richards, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) DeCoite.",waiting2,waiting2
2025,SB1114,S,"Referred to WTL/HOU, WAM.",introduced,introduced
2025,SB1152,S,"Referred to AEN, WAM.",introduced,introduced
2025,SB1155,S,"Referred to AEN, WAM.",introduced,introduced
2025,SB1158 SD1,S,"Reported from HRE/AEN (Stand. Com. Rep. No. 309) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM.",waiting2,waiting2
2025,SB1159,S,The committee(s) on AEN has scheduled a public hearing on 02-10-25 1:01PM; Conference Room 224 & Videoconference.,waiting2,waiting2
2025,SB1171 SD1,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 4 Aye(s): Senator(s) Gabbard, Richards, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) DeCoite.",waiting2,waiting2
2025,SB1178,S,"Referred to WTL/AEN, WAM.",introduced,introduced
2025,SB1182,S,"Referred to WTL/AEN, WAM.",waiting2,introduced
2025,SB1183,S,"Referred to EDT/AEN, CPN.",introduced,introduced
2025,SB1184,S,"Referred to AEN, WAM.",introduced,introduced
2025,SB1185 SD1 HD1,H,"Referred to AGR, FIN, referral sheet 19",crossoverWaiting2,crossoverWaiting2
2025,SB1186 SD2 HD3 CD1,S,"Act 239, 06/27/2025 (Gov. Msg. No. 1341).",governorSigns,governorSigns
2025,SB1187 SD1,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 4 Aye(s): Senator(s) Gabbard, Richards, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) DeCoite.",waiting2,waiting2
2025,SB1188,S,"Referred to WTL/EIG/HHS, WAM.",introduced,introduced
2025,SB1189,S,"Referred to EDU/HRE/AEN, WAM.",introduced,introduced
2025,SB1190,S,"Referred to WTL/AEN, WAM.",introduced,introduced
2025,SB1191,S,The committee(s) on AEN/HHS deleted the measure from the public hearing scheduled on 02-07-25 2:00PM; CR 225 & Videoconference.,scheduled1,deferred1
2025,SB1192,S,"Referred to EDU, WAM/JDC.",introduced,introduced
2025,SB1193,S,"Referred to WTL/PSM, WAM/JDC.",introduced,introduced
2025,SB12,S,The committee(s) on AEN has scheduled a public hearing on 02-10-25 1:01PM; Conference Room 224 & Videoconference.,deferred1,deferred1
2025,SB1247,S,"Referred to EDT, WAM.",introduced,introduced
2025,SB1248,S,The committee(s) on AEN has scheduled a public hearing on 02-10-25 1:01PM; Conference Room 224 & Videoconference.,waiting2,waiting2
2025,SB1249 SD1 HD2 CD1,S,"Act 235, 06/27/2025 (Gov. Msg. No. 1337).",governorSigns,governorSigns
2025,SB1250 SD1 HD1,H,"Referred to AGR, FIN, referral sheet 19",crossoverWaiting2,crossoverWaiting2
2025,SB1251,S,"Referred to WTL/AEN/EIG/EDT, WAM.",introduced,introduced
2025,SB1257 SD1 HD1,H,"Bill scheduled to be heard by AGR on Wednesday, 03-12-25 9:00AM in House conference room 325 VIA VIDEOCONFERENCE.",crossoverDeferred2,crossoverDeferred2
2025,SB1258,S,"Referred to EDT, WAM.",waiting2,introduced
2025,SB1259,S,"Referred to EDU/AEN, WAM/JDC.",introduced,introduced
2025,SB1260 SD1,S,The committee(s) on AEN has scheduled a public hearing on 02-10-25 1:01PM; Conference Room 224 & Videoconference.,waiting2,waiting2
2025,SB1262,S,"Referred to WTL/AEN, JDC/WAM.",introduced,introduced
2025,SB1276 SD1 HD1,H,"Bill scheduled to be heard by AGR on Wednesday, 03-12-25 9:00AM in House conference room 325 VIA VIDEOCONFERENCE.",crossoverWaiting2,crossoverWaiting2
2025,SB127 SD1,S,"Reported from AEN (Stand. Com. Rep. No. 43) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM.",introduced,waiting2
2025,SB128,S,"Referred to AEN, JDC.",introduced,introduced
2025,SB1290,S,"Referred to HHS, WAM/CPN.",introduced,introduced
2025,SB129 SD2,H,Pass First Reading,crossoverWaiting1,crossoverWaiting1
2025,SB1300 SD1 HD1 CD1,S,"Act 139, 05/30/2025 (Gov. Msg. No. 1239).",governorSigns,governorSigns
2025,SB1303 SD1,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 4 Aye(s): Senator(s) Gabbard, Richards, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) DeCoite.",waiting2,waiting2
2025,SB1304 SD2 HD1 CD1,H,"Act 179, on 06/06/2025 (Gov. Msg. No. 1279).",governorSigns,governorSigns
2025,SB1305,S,"Referred to AEN, WAM.",introduced,introduced
2025,SB1325 SD1,S,"The committee(s) on  EDT recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in EDT were as follows: 5 Aye(s): Senator(s) DeCoite, Wakai, Fukunaga, Kim, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.",waiting2,waiting2
2025,SB1331 SD1,S,The committee(s) on WTL has scheduled a public hearing on 02-10-25 1:00PM; Conference Room 229 & Videoconference.,waiting2,waiting2
2025,SB1332,S,"Referred to AEN/WTL, WAM.",introduced,introduced
2025,SB1335 SD1,S,The committee(s) on WTL has scheduled a public hearing on 02-10-25 1:00PM; Conference Room 229 & Videoconference.,waiting2,waiting2
2025,SB1336,S,"The committee(s) on EIG recommend(s) that the measure be PASSED, UNAMENDED.  The votes in EIG were as follows: 5 Aye(s): Senator(s) Wakai, Chang, DeCoite, Richards, Fevella; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.",waiting2,waiting2
2025,SB135,S,The committee(s) on EDT/CPN has scheduled a public hearing on 02-11-25 1:02PM; Conference Room 229 & Videoconference.,deferred1,deferred1
2025,SB1379 SD2 HD1,H,"Bill scheduled to be heard by PBS on Wednesday, 03-12-25 9:30AM in House conference room 411 VIA VIDEOCONFERENCE.",crossoverWaiting2,crossoverWaiting2
2025,SB139,S,"Referred to AEN/WTL, CPN/WAM.",introduced,introduced
2025,SB1394,S,"Referred to EDU, WAM.",introduced,introduced
2025,SB1395 SD2 HD1,H,Pass First Reading,crossoverDeferred2,crossoverDeferred2
2025,SB1396 SD3 HD3 CD2,S,"Act 096, 05/27/2025 (Gov. Msg. No. 1196).",governorSigns,governorSigns
2025,SB13 SD1,S,"Reported from AEN (Stand. Com. Rep. No. 298) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM.",waiting2,waiting2
2025,SB1418 SD1,S,"The committee(s) on  HHS recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in HHS were as follows: 4 Aye(s): Senator(s) San Buenaventura, Aquino, Hashimoto, Keohokalole; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Fevella.",crossoverDeferred1,deferred2
2025,SB1468 SD1,S,The committee(s) on AEN has scheduled a public hearing on 02-10-25 1:01PM; Conference Room 224 & Videoconference.,waiting2,waiting2
2025,SB1539 SD1,S,The committee(s) on EDT has scheduled a public hearing on 02-11-25 1:00PM; Conference Room 229 & Videoconference.,waiting2,waiting2
2025,SB1547 SD1 HD1,S,Senate disagrees with House amendments.,conferenceScheduled,conferenceScheduled
2025,SB1548,S,The committee on EDU deferred the measure.,deferred1,deferred1
2025,SB1573,S,"Referred to WTL/AEN, JDC.",introduced,introduced
2025,SB1582 HD1,H,Received notice of disagreement (Sen. Com. No. 481).,conferenceAssigned,conferenceAssigned
2025,SB1591 SD1,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 5 Aye(s): Senator(s) Gabbard, Richards, DeCoite, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.",waiting2,waiting2
2025,SB16,S,Pending Introduction.,introduced,introduced
2025,SB1607,S,Re-Referred to JDC.,introduced,introduced
2025,SB177 SD1 HD1,S,Senate disagrees with House amendments.,conferenceScheduled,conferenceScheduled
2025,SB184,S,Report adopted; Passed Second Reading and referred to WAM.,introduced,waiting2
2025,SB194,S,"Referred to HHS, WAM.",introduced,introduced
2025,SB19 SD1,S,"The committee(s) on  WTL recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in WTL were as follows: 5 Aye(s): Senator(s) Inouye, Elefante, Chang, McKelvey, DeCorte; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.",waiting2,waiting2
2026,SB2002,S,48 Hrs. Notice 03-10-26.,crossoverWaiting2,crossoverWaiting2
2026,SB2006,S,48 Hrs. Notice 03-10-26.,crossoverWaiting1,crossoverWaiting1
2026,SB2007,S,The committee on EIG deferred the measure.,deferred1,deferred1
2026,SB2015,S,"Referred to WLA/EIG, WAM.",introduced,introduced
2026,SB2019,S,The committee(s) on WLA/AEN has scheduled a public hearing on 02-11-26 1:00PM; CR 224 & Videoconference.,waiting2,waiting2
2026,SB2028,S,"Referred to AEN, WAM.",introduced,introduced
2026,SB2048,S,The committee(s) on AEN/CPN has scheduled a public hearing on 02-11-26 10:00AM; Conference Room 229 & Videoconference.,waiting2,waiting2
2026,SB2085,S,"Referred to HHS, WAM.",introduced,introduced
2026,SB2094,S,The committee(s) on AEN/GVO has scheduled a public hearing on 02-12-26 3:05PM; Conference Room 225 & Videoconference.,waiting2,waiting2
2026,SB2095,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 16 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Morikawa, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none.",passedCommittees,passedCommittees
2026,SB2096,S,"Reported from WAM (Stand. Com. Rep. No. 2948) with recommendation of passage on Third Reading, as amended (SD 2).",crossoverWaiting2,crossoverWaiting2
2026,SB2097,S,"Reported from AEN (Stand. Com. Rep. No. 2233) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM.",waiting2,waiting2
2026,SB2098,S,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.",waiting2,waiting2
2026,SB2100,S,48 Hrs. Notice 03-10-26.,crossoverWaiting2,crossoverWaiting2
2026,SB2101,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 15 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Morikawa, Perruso, Templo, Yamashita, Gedeon, Reyes Oda; Ayes with reservations: none; 1 Noes: Representative(s) Alcos; and  Excused: none.",passedCommittees,passedCommittees
2026,SB2102,H,"The committee on CPC recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 11 Ayes: Representative(s) Matayoshi, Grandinetti, Chun, Ilagan, Ichiyama, Iwamoto, Kong, Lowen, Marten, Tam, Pierick; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none.",passedCommittees,passedCommittees
2026,SB2103,S,48 Hrs. Notice 03-10-26.,crossoverWaiting1,crossoverWaiting1
2026,SB2104,S,"Referred to HHS/EIG, WAM.",introduced,introduced
2026,SB2109,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 16 Ayes: Representative(s) Todd, Takenouchi, Hussey, Kitagawa, Kusch, Lee, M., Miyake, Morikawa, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: Representative(s) Hartsfield, Keohokapu-Lee Loy;  Noes: none; and  Excused: none.",passedCommittees,passedCommittees
2026,SB2110,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 16 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Morikawa, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none.",passedCommittees,passedCommittees
2026,SB2112,S,"Re-Referred to AEN, CPN/WAM.",waiting2,introduced
2026,SB2113,S,"Referred to GVO/AEN/PSM/HHS, WAM.",introduced,introduced
2026,SB2123,S,The committee on AEN deferred the measure.,deferred1,deferred1
2026,SB2126,S,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.",waiting2,waiting2
2026,SB2127,S,"The committee(s) on  HHS recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in HHS were as follows: 3 Aye(s): Senator(s) San Buenaventura, McKelvey, Kanuha; Aye(s) with reservations: none ; 0 No(es): none; and 2 Excused: Senator(s) Keohokalole, Fevella.",waiting2,waiting2
2026,SB2130,S,The committee(s) on WLA deleted the measure from the public hearing scheduled on 02-09-26 1:00PM; CR 224 & Videoconference.,waiting2,waiting2
2026,SB2144,S,"Referred to EDU, WAM.",introduced,introduced
2026,SB2148,S,"Referred to HHS/CPN, WAM.",introduced,introduced
2026,SB2153,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 15 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 1 Excused: Representative(s) Morikawa.",passedCommittees,passedCommittees
2026,SB2154,S,"Reported from AEN (Stand. Com. Rep. No. 2105) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM.",waiting2,waiting2
2026,SB2156,S,"Reported from EDT/WLA (Stand. Com. Rep. No. 2688) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM.",waiting2,waiting2
2026,SB2159,S,"Referred to EDT/AEN, WAM.",introduced,introduced
2026,SB2160,S,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM/CPN.",waiting2,waiting2
2026,SB2161,S,48 Hrs. Notice 03-10-26.,crossoverWaiting1,crossoverWaiting1
2026,SB2162,S,"Referred to WLA/HOU, WAM.",introduced,introduced
2026,SB2168,S,"Referred to EDU/AEN, WAM.",introduced,introduced
2026,SB2169,H,"The committee on JHA recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 6 Ayes: Representative(s) Tarnas, Hashem, Kahaloa, Takayama; Ayes with reservations: Representative(s) Cochran, Garcia; 2 Noes: Representative(s) Poepoe, Shimizu; and 2 Excused: Representative(s) Belatti, Sayama.",passedCommittees,passedCommittees
2025,SB216 SD1,S,The committee(s) on AEN has scheduled a public hearing on 02-10-25 1:01PM; Conference Room 224 & Videoconference.,waiting2,waiting2
2026,SB2170,S,"The committee(s) on  EDT recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in EDT were as follows: 3 Aye(s): Senator(s) DeCoite, Fukunaga, Fevella; Aye(s) with reservations: none ; 0 No(es): none; and 2 Excused: Senator(s) Wakai, Kim.",waiting2,waiting2
2026,SB2174,S,"Reported from JDC (Stand. Com. Rep. No. 3018) with recommendation of passage on Third Reading, as amended (SD 2).",crossoverWaiting2,crossoverWaiting2
2025,SB22,S,The committee(s) on WTL/AEN has scheduled a public hearing on 02-12-25 1:05PM; Conference Room 229 & Videoconference.,deferred1,deferred1
2025,SB221,S,"Referred to EDU, WAM.",introduced,introduced
2026,SB2211,H,Pass First Reading,crossoverWaiting2,crossoverWaiting2
2026,SB2213,S,"Referred to EDU/AEN, WAM.",introduced,introduced
2026,SB2236,S,"Referred to HHS, CPN.",introduced,introduced
2026,SB2240,S,48 Hrs. Notice 03-10-26.,crossoverWaiting1,crossoverWaiting1
2026,SB2258,S,The committee(s) on GVO/CPN has scheduled a public hearing on 02-11-26 9:45AM; CR 229 & Videoconference.,waiting2,waiting2
2025,SB229,S,"Referred to EDU, WAM.",scheduled1,introduced
2026,SB2309,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 5 Aye(s): Senator(s) Gabbard, Richards, DeCoite, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.",waiting2,waiting2
2025,SB231,S,"Referred to WTL/AEN/EIG/EDT, WAM.",introduced,introduced
2026,SB2317,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 5 Aye(s): Senator(s) Gabbard, Richards, DeCoite, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.",waiting2,waiting2
2026,SB2318,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 5 Aye(s): Senator(s) Gabbard, Richards, DeCoite, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.",waiting2,waiting2
2026,SB2319,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 15 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 1 Excused: Representative(s) Morikawa.",passedCommittees,passedCommittees
2026,SB2320,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 16 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Morikawa, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none;  Noes: none; and  Excused: none.",passedCommittees,passedCommittees
2026,SB2321,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 15 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Perruso, Templo, Yamashita, Gedeon, Reyes Oda; Ayes with reservations: Representative(s) Alcos;  Noes: none; and 1 Excused: Representative(s) Morikawa.",passedCommittees,passedCommittees
2026,SB2323,S,"The committee(s) on  AEN recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in AEN were as follows: 5 Aye(s): Senator(s) Gabbard, Richards, DeCoite, Rhoads, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.",waiting2,waiting2
2025,SB233,S,The committee(s) on EIG has scheduled a public hearing on 02-11-25 3:20PM; Conference Room 016 & Videoconference.,waiting2,waiting2
2026,SB2332,S,The committee(s) on AEN will hold a public decision making on 02-11-26 4:00PM; Conference Room 224 & Videoconference.,deferred1,deferred1
2026,SB2333,S,The committee(s) on AEN will hold a public decision making on 02-11-26 4:00PM; Conference Room 224 & Videoconference.,waiting2,waiting2
2026,SB2334,S,The committee(s) on AEN/WLA has scheduled a public hearing on 02-11-26 3:00PM; CR 224 & Videoconference.,deferred1,deferred1
2026,SB2335,S,"Referred to EDT/AEN, WAM.",introduced,introduced
2026,SB2349,S,"The committee(s) on  EDT recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in EDT were as follows: 4 Aye(s): Senator(s) DeCoite, Wakai, Kim, Fevella; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Fukunaga.",waiting2,waiting2
2025,SB235,S,"Referred to EDU/AEN, WAM.",introduced,introduced
2026,SB2350,S,"Reported from WAM (Stand. Com. Rep. No. 2850) with recommendation of passage on Third Reading, as amended (SD 2).",crossoverDeferred1,crossoverDeferred1
2026,SB2360,H,"Reported from FIN (Stand. Com. Rep. No. 2002-26), recommending passage on Third Reading.",passedCommittees,waiting2
2026,SB2371,S,"Reported from AEN/WLA/EIG (Stand. Com. Rep. No. 2685) with recommendation of passage on Second Reading, as amended (SD 1) and referral to CPN/JDC.",waiting2,waiting2
2026,SB2374,S,The committee(s) on EDT/AEN has rescheduled its public hearing to 02-13-26 3:01PM; Conference Room 224 & Videoconference.,waiting2,waiting2
2025,SB240,S,The committee on AEN deferred the measure.,deferred1,deferred1
2026,SB2404,S,"Referred to AEN, WAM.",introduced,introduced
2026,SB2405,H,"Reported from WAL (Stand. Com. Rep. No. 1990-26), recommending passage on Third Reading.",passedCommittees,introduced
2026,SB2406,S,"Referred to AEN, CPN.",introduced,introduced
2026,SB2407,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 15 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 1 Excused: Representative(s) Morikawa.",passedCommittees,passedCommittees
2026,SB2417,S,"Referred to PSM/HHS, JDC/WAM.",introduced,introduced
2026,SB2427,S,"Referred to HHS, WAM.",introduced,introduced
2025,SB242 SD2,H,Pass First Reading,crossoverWaiting1,crossoverWaiting1
2026,SB2439,S,"Referred to AEN, WAM/CPN.",introduced,introduced
2026,SB2440,S,"Referred to WLA/AEN, WAM.",introduced,introduced
2026,SB2458,S,"Referred to HHS/CPN, WAM.",introduced,introduced
2026,SB2459,S,"Referred to AEN, CPN.",introduced,introduced
2025,SB247,S,"Referred to WTL, WAM.",introduced,introduced
2025,SB248,S,"Referred to EDU/LBT, WAM.",introduced,introduced
2026,SB2488,S,The committee(s) on WLA/AEN has scheduled a public hearing on 02-11-26 1:00PM; CR 224 & Videoconference.,waiting2,waiting2
2026,SB2489,S,"Reported from JDC (Stand. Com. Rep. No. 3021) with recommendation of passage on Third Reading, as amended (SD 1).",crossoverWaiting2,crossoverWaiting2
2025,SB249 SD1,S,The committee(s) on EDU has scheduled a public hearing on 02-10-25 3:02PM; Conference Room 229 & Videoconference.,waiting2,waiting2
2025,SB250 SD1,S,"Reported from AEN (Stand. Com. Rep. No. 50) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM.",waiting2,waiting2
2025,SB251,S,Reported from AEN (Stand. Com. Rep. No. 16) with recommendation of passage on Second Reading and referral to CPN/WAM.,waiting2,waiting2
2025,SB252 SD2 HD2,H,"Bill scheduled to be heard by AGR on Wednesday, 03-12-25 9:00AM in House conference room 325 VIA VIDEOCONFERENCE.",crossoverWaiting3,crossoverWaiting3
2026,SB2576,S,The committee on AEN deferred the measure.,deferred1,deferred1
2026,SB2595,H,"Bill scheduled for decision making on Tuesday, 04-07-26 10:10AM in conference room 308 VIA VIDEOCONFERENCE.",passedCommittees,crossoverDeferred2
2026,SB2597,S,"Referred to AEN, WAM.",introduced,introduced
2026,SB2615,H,"The committee on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 16 Ayes: Representative(s) Todd, Takenouchi, Hartsfield, Hussey, Keohokapu-Lee Loy, Kitagawa, Kusch, Lee, M., Miyake, Morikawa, Perruso, Templo, Yamashita, Alcos, Gedeon, Reyes Oda; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none.",passedCommittees,passedCommittees
2026,SB2677,S,"Referred to EDU, WAM.",introduced,introduced
2026,SB2685,S,"Referred to WLA, JDC.",introduced,introduced
2026,SB2689,S,"Referred to EIG/AEN, WAM.",introduced,introduced
2026,SB2703,S,"Referred to AEN, WAM.",introduced,introduced
2026,SB2704,S,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.",waiting2,waiting2
2026,SB2705,S,"Referred to EDU, WAM.",introduced,introduced
